etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
1002,10,???? ?????? ?????????? ??????? ??????,Faculté des Sciences Economiques et de Gestion de Sfax,fsegs.rnu.tn,Sfax,Public,34.73359990470372, 10.710172988779556
1006,10,???? ???????? ?????? ???????? ??????,Institut des Hautes Etudes Commerciales de Sfax,ihecsf.rnu.tn,Sfax,Public,34.794110229191624, 10.836636290542263
1015,10,?????? ???????? ???????? ???????? ??????,Institut Préparatoire aux Etudes d'Ingénieurs de Sfax,ipeis.rnu.tn,Sfax,Public,34.737441646060766, 10.748793242415168
1014,10,?????? ?????? ?????? ??????? ??????,Institut Supérieur d'Administration des Affaires de Sfax,isaas.rnu.tn,Sfax,Public,34.73547426451344, 10.711704981465555
1010,10,?????? ?????? ?????????????? ??????,Institut Supérieur de Biotechnologie de Sfax,isbs.rnu.tn,Sfax,Public,34.72405565459974, 10.718935288413087
1009,10,?????? ?????? ?????? ??????? ??????,Institut Supérieur de Gestion Industrielle de Sfax,isgis.rnu.tn,Sfax,Public,34.83847139939949, 10.753491616729736
1007,10,?????? ?????? ???????? ??????,Institut Supérieur de Musique de Sfax,ismsf.rnu.tn,Sfax,Public,34.83576670505437, 10.753281680602203
1008,10,?????? ?????? ?????? ?????? ??????,Institut Supérieur des Arts et Métiers de Sfax,isams.rnu.tn,Sfax,Public,34.747838806480765, 10.761832646880315
1013,10,?????? ?????? ????? ??????? ??????,Institut Supérieur des Sciences Infirmiéres de Sfax,,Sfax,Public,34.73802913066235, 10.749167
1012,10,?????? ?????? ????????? ???????????? ??????,Institut Supérieur d'Informatique et de Multimédia de Sfax,isimsf.rnu.tn,Sfax,Public,34.84003001925982, 10.75727073883884
1016,10,?????? ?????? ??????? ???????? ??????? ??????,Institut Supérieur du Sport et de l'Education Physique de Sfax,,Sfax,Public,34.731694838177766, 10.713302542329245
714,7,??????? ??????? ????????? ?????,Ecole Nationale déIngénieurs de Sousse,eniso.rnu.tn,Sousse,Public,35.81997712878277, 10.593317057775582
715,7,??????? ?????? ?????? ???????????? ????? ????,Ecole Supérieure des Sciences et des Technologies de Hammam Sousse,essths.rnu.tn,Sousse,Public,35.85019402851186, 10.597925056623875
716,7,??????? ?????? ????? ??????? ????? ??????,Ecole Supérieure des Sciences et Techniques de la Santé de Sousse,esstssousse.tn,Sousse,Public,35.83922686574052, 10.589882568801979
717,7,???? ?????? ??????? ???????? ?????,Faculté de Droit et et des Sciences Politiques de Sousse,http://www.fdsps.rnu.tn/,Sousse,Public,35.805770939389475, 10.611961318247857
703,7,???? ???? ?????,Faculté de Médecine de Sousse,www.medecinesousse.com,Sousse,Public,35.828526979457855, 10.625715821364988
702,7,???? ?????? ??????? ????????? ?????,Faculté des Lettres et des Sciences Humaines de Sousse,fls.rnu.tn,Sousse,Public,35.801222542405064, 10.61601818330712
718,7,???? ?????? ?????????? ??????? ?????,Faculté des Sciences Economiques et de Gestion de Sousse,fsegso.rnu.tn,Sousse,Public,35.7999493804612, 10.617989313511014
704,7,???? ???????? ?????? ???????? ?????,Institut des Hautes Etudes Commerciales de Sousse,ihecso.rnu.tn,Sousse,Public,35.831694680368216, 10.590605717104811
713,7,?????? ?????? ?????? ???????? ??? ????,Institut Supérieur Agronomique de Chott Mériem,isa-cm.agrinet.tn,Sousse,Public,35.91977888183557, 10.566205203178754
707,7,?????? ?????? ??????? ???????? ?????,Institut Supérieur de Finances et de Fiscalité de Sousse,isffs.rnu.tn,Sousse,Public,35.81993969581127, 10.636354518162369
710,7,?????? ?????? ?????? ?????,Institut Supérieur de Gestion de Sousse,isgs.rnu.tn,Sousse,Public,35.81407543911409, 10.62553085494109
706,7,?????? ??????? ?????????? ?????,Institut Supérieur de Musique de Sousse,isms.tn,Sousse,Public,35.81994804076276, 10.635548071784548
708,7,?????? ?????? ?????? ??????? ?????,Institut Supérieur des Beaux Arts de Sousse,isbas.rnu.tn,Sousse,Public,35.831136252402686, 10.6388496432921
709,7,?????? ?????? ?????? ????????? ???????????? ?????,Institut Supérieur des Sciences Appliquées et de Technologie de Sousse,issatso.rnu.tn,Sousse,Public,35.81190247595861, 10.637120257065588
712,7,?????? ?????? ????? ??????? ?????,Institut Supérieur des Sciences Infirmiéres de Sousse,sciencesinfirmieres-sousse.tn/public/,Sousse,Public,35.8278487153256, 10.624847422089696
711,7,?????? ?????? ????????? ??????? ??????? ????? ????,Institut Supérieur d'Informatique et des Technologies de Communication de Hammam Sousse,isitcom.rnu.tn,Sousse,Public,35.85794683350204, 10.59916560207576
705,7,?????? ?????? ????? ?????? ??????? ?????,Institut Supérieur du Transport et de la Logistique de Sousse,istls.rnu.tn,Sousse,Public,35.798775732354876, 10.61598819931827
212,2,??????? ??????? ?????? ????????? ?????,Ecole Nationale Supérieure d'Ingénieurs de Tunis,www.ensit.tn,Tunis,Public,36.784612890454795, 10.17937637326426
214,2,??? ???????? ??????,Ecole Normale Supérieure,www.ens.rnu.tn,Tunis,Public,36.79077197510855, 10.168702432907029
213,2,??????? ?????? ?????? ?????????? ????????? ?????,Ecole Supérieure des Sciences Economiques et Commerciales de Tunis,www.essect.rnu.tn,Tunis,Public,36.78716734561937, 10.174311765716011
201,2,???? ?????? ????????? ??????????? ?????,Faculté des Sciences Humaines et Sociales de Tunis,www.fshst.rnu.tn,Tunis,Public,36.79567238507198, 10.163393417456419
209,2,?????? ???????? ???????? ???????? ?????,Institut Préparatoire aux Etudes d'Ingénieurs de Tunis,www.ipeit.rnu.tn,Tunis,Public,36.78535636493706, 10.171203607369236
210,2,?????? ???????? ???????? ??????? ? ?????? ????????? ?????,Institut Préparatoire aux Etudes Littéraires et des Sciences Humaines de Tunis,www.ipelsht.rnu.tn,Tunis,Public,36.790220220990946, 10.16755916894899
205,2,?????? ?????? ???? ???????,Institut Supérieur d'Art Dramatique de Tunis,,Tunis,Public,36.815065783921064, 10.1668648
211,2,?????? ?????? ?????? ?????,Institut Supérieur de Gestion de Tunis,www.isg.rnu.tn,Tunis,Public,36.80444873263701, 10.150561065975129
208,2,?????? ?????? ??????? ??????? ???????? ???? ?????,Institut Supérieur de l'Animation pour la Jeunesse et la Culture de Bir El Bey,www.isajc.rnu.tn,Ben Arous,Public,36.717645510065715, 10.377373594787201
203,2,?????? ?????? ???????? ?????,Institut Supérieur de Musique de Tunis,www.ismt.rnu.tn,Tunis,Public,36.80148205262928, 10.180993988908002
204,2,?????? ?????? ?????? ??????? ?????,Institut Supérieur des Beaux Arts de Tunis,www.isbat.rnu.tn,Tunis,Public,36.81095727812382, 10.163123807029512
207,2,?????? ?????? ???????? ????????? ?? ?????????? ?????,Institut Supérieur des Etudes Appliquées en Humanité de Tunis,www.iseaht.rnu.tn,Tunis,Public,36.806164831040924, 10.156706890344095
206,2,?????? ?????? ???????? ????????? ?? ?????????? ??????,Institut Supérieur des études Appliquées en Humanités de Zaghouan,www.iseahz.rnu.tn,Zaghouan,Public,36.43381977325008, 10.090502803475578
202,2,?????? ?????? ???? ?????? ?????,Institut Supérieur des Métiers du Patrimoine de Tunis,www.ismpt.rnu.tn,Tunis,Public,36.78625504566702, 10.172570338964604
215,2,?????? ?????? ??????? ?????,Tunis Business School,www.utunis.rnu.tn,Ben Arous,Public,36.72010512789444, 10.234829266813852
311,3,??????? ??????? ????????? ?????,Ecole Nationale d'Ingénieurs de Tunis,www.enit.rnu.tn,Tunis,Public,36.831126491867, 10.147739596348062
312,3,????????? ??????? ????? ??????? ????? ?????,Ecole Supérieure des Sciences et Techniques de la Santé de Tunis,esstst.wixsite.com/home,Tunis,Public,36.80042094669575, 10.156233606382647
303,3,???? ?????? ??????? ???????? ?????,Faculté de Droit et des Sciences Politiques de Tunis,www.fdspt.rnu.tn,Tunis,Public,36.83172834494407, 10.150676652196909
304,3,???? ???? ?????,Faculté de Médecine de Tunis,www.fmt.rnu.tn,Tunis,Public,36.80334951985015, 10.15778421926507
302,3,???? ?????? ?????????? ??????? ?????,Faculté des Sciences Economiques et de Gestion de Tunis,www.fsegt.rnu.tn,Tunis,Public,36.8324969093717, 10.150352104917681
